variable,nombre_uci,descripcion,rol_sugerido,fuente,nota
id_cliente,—,Identificador sintético para el ejercicio; nunca es predictor.,Identificador,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
edad,age,Edad del cliente.,Predictor numérico,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
ocupacion,job,Ocupación declarada.,Predictor categórico,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
estado_civil,marital,Estado civil.,Predictor categórico,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
educacion,education,Nivel educativo; contiene blancos controlados.,Predictor categórico,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
incumplimiento_credito,default,Antecedente de incumplimiento.,Predictor categórico,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
credito_vivienda,housing,Tiene crédito de vivienda; contiene blancos controlados.,Predictor categórico,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
prestamo_personal,loan,Tiene préstamo personal; contiene blancos controlados.,Predictor categórico,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
tipo_contacto,contact,Canal de contacto.,Predictor categórico,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
mes,month,Mes del contacto.,Predictor categórico,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
dia_semana,day_of_week,Día de la semana del contacto.,Predictor categórico,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
contactos_campana,campaign,Contactos realizados durante la campaña.,Predictor numérico,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
dias_desde_contacto_previo,pdays,Días desde el contacto previo; 999 indica que no hubo contacto.,Predictor numérico,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
contactos_previos,previous,Número de contactos previos.,Predictor numérico,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
resultado_previo,poutcome,Resultado de la campaña anterior.,Predictor categórico,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
variacion_empleo,emp.var.rate,Tasa de variación del empleo.,Predictor numérico,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
indice_precios,cons.price.idx,Índice de precios al consumidor.,Predictor numérico,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
confianza_consumidor,cons.conf.idx,Índice de confianza del consumidor.,Predictor numérico,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
euribor_3m,euribor3m,Tasa Euribor a tres meses.,Predictor numérico,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
numero_empleados,nr.employed,Número de empleados del indicador macroeconómico.,Predictor numérico,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
acepta_deposito,y,Aceptó el depósito a plazo.,Variable respuesta,https://archive.ics.uci.edu/dataset/222/bank+marketing,"Versión pedagógica derivada: muestra, ID, blancos y filas sin pareja son modificaciones documentadas."
